iter	Passed	Remaining
257	9699	140675
258	9726	140487
259	9763	140446
260	9810	140542
261	9848	140512
262	9890	140535
263	9930	140525
264	9969	140508
265	10002	140404
266	10032	140267
267	10062	140117
268	10090	139951
269	10120	139817
270	10152	139706
271	10185	139607
272	10225	139593
273	10261	139536
274	10293	139428
275	10330	139381
276	10363	139286
277	10396	139192
278	10427	139074
279	10454	138900
280	10482	138733
281	10508	138548
282	10535	138372
283	10563	138214
284	10589	138035
285	10619	137904
286	10650	137782
287	10677	137618
288	10704	137454
289	10731	137293
290	10759	137136
291	10788	136995
292	10816	136843
293	10850	136774
294	10878	136631
295	10906	136477
296	10937	136374
297	10965	136221
298	10995	136099
299	11022	135941
300	11050	135802
301	11088	135783
302	11122	135713
303	11155	135621
304	11191	135577
305	11230	135576
306	11266	135525
307	11296	135415
308	11339	135445
309	11370	135344
310	11396	135182
311	11421	135013
312	11448	134862
313	11476	134718
314	11505	134590
315	11537	134502
316	11564	134356
317	11593	134239
318	11620	134086
319	11648	133963
320	11678	133845
321	11707	133731
322	11742	133670
323	11770	133548
324	11799	133428
325	11826	133289
326	11852	133137
327	11878	132983
328	11906	132850
329	11934	132729
330	11969	132672
331	12002	132609
332	12035	132537
333	12089	132695
334	12143	132853
335	12212	133176
336	12279	133468
337	12338	133683
338	12397	133884
339	12461	134143
340	12514	134288
341	12572	134476
342	12625	134605
343	12687	134841
344	12738	134954
345	12793	135106
346	12844	135216
347	12895	135325
348	12930	135267
349	12964	135199
350	12996	135111
351	13027	135015
352	13061	134943
353	13100	134924
354	13137	134894
355	13171	134820
356	13201	134715
357	13239	134683
358	13273	134624
359	13309	134575
360	13353	134610
361	13391	134581
362	13423	134495
363	13455	134402
364	13487	134320
365	13516	134207
366	13545	134090
367	13581	134040
368	13612	133945
369	13641	133829
370	13673	133751
371	13701	133624
372	13732	133533
373	13762	133427
374	13803	133430
375	13835	133352
376	13866	133253
377	13901	133209
378	13940	133190
379	13984	133218
380	14030	133273
381	14079	133346
382	14120	133355
383	14160	133343
384	14201	133350
385	14250	133421
386	14293	133441
387	14326	133366
388	14356	133266
389	14385	133157
390	14411	133023
391	14439	132897
392	14467	132788
393	14499	132699
394	14531	132623
395	14558	132495
396	14585	132367
397	14612	132248
398	14639	132118
399	14665	131991
400	14699	131928
401	14734	131875
402	14764	131777
403	14793	131675
404	14821	131566
405	14851	131465
406	14879	131358
407	14911	131283
408	14947	131234
409	14987	131228
410	15017	131136
411	15048	131053
412	15079	130966
413	15105	130844
414	15139	130783
415	15173	130721
416	15201	130613
417	15228	130499
418	15260	130422
419	15293	130358
420	15332	130342
421	15371	130329
422	15408	130295
423	15440	130222
424	15468	130119
425	15499	130039
426	15529	129942
427	15555	129824
428	15582	129709
429	15619	129675
430	15652	129617
431	15679	129500
432	15705	129381
433	15733	129271
434	15760	129162
435	15790	129074
436	15828	129052
437	15863	129009
438	15895	128935
439	15923	128833
440	15954	128756
441	15983	128659
442	16014	128583
443	16056	128593
444	16091	128548
445	16119	128453
446	16148	128360
447	16176	128254
448	16203	128151
449	16237	128098
450	16270	128031
451	16308	128010
452	16338	127929
453	16366	127828
454	16393	127726
455	16422	127630
456	16451	127543
457	16482	127469
458	16517	127428
459	16546	127333
460	16572	127224
461	16597	127102
462	16624	126996
463	16652	126906
464	16683	126832
465	16711	126734
466	16738	126635
467	16765	126531
468	16792	126424
469	16825	126369
470	16851	126262
471	16882	126192
472	16912	126107
473	16941	126023
474	16969	125934
475	16997	125835
476	17027	125759
477	17057	125682
478	17085	125591
479	17118	125532
480	17149	125466
481	17178	125381
482	17206	125291
483	17233	125192
484	17263	125114
485	17295	125053
486	17327	124995
487	17358	124925
488	17387	124840
489	17415	124753
490	17444	124668
491	17473	124584
492	17504	124517
493	17536	124461
494	17564	124368
495	17591	124274
496	17618	124177
497	17645	124087
498	17671	123986
499	17698	123890
500	17729	123821
501	17759	123748
502	17787	123665
503	17814	123572
504	17843	123491
505	17876	123439
506	17910	123391
507	17949	123386
508	17987	123366
509	18023	123334
510	18059	123308
511	18092	123255
512	18157	123420
513	18224	123597
514	18285	123740
515	18324	123726
516	18370	123763
517	18412	123765
518	18451	123755
519	18507	123856
520	18554	123900
521	18615	124032
522	18670	124126
523	18727	124229
524	18784	124337
525	18841	124442
526	18894	124515
527	18941	124552
528	18982	124549
529	19018	124517
530	19056	124498
531	19094	124476
532	19141	124512
533	19169	124419
534	19196	124331
535	19226	124256
536	19255	124173
537	19288	124120
538	19324	124084
539	19354	124012
540	19386	123952
541	19415	123871
542	19445	123801
543	19475	123724
544	19506	123660
545	19536	123584
546	19562	123492
547	19590	123407
548	19616	123309
549	19641	123203
550	19666	123101
551	19691	122999
552	19720	122921
553	19751	122861
554	19778	122772
555	19804	122672
556	19832	122589
557	19865	122537
558	19897	122481
559	19942	122502
560	19990	122546
561	20045	122628
562	20100	122709
563	20145	122732
564	20189	122745
565	20265	122953
566	20298	122898
567	20325	122813
568	20352	122721
569	20381	122646
570	20412	122580
571	20447	122542
572	20473	122445
573	20499	122353
574	20529	122283
575	20555	122193
576	20584	122115
577	20613	122039
578	20641	121960
579	20670	121881
580	20697	121795
581	20727	121730
582	20762	121691
583	20795	121636
584	20829	121596
585	20863	121551
586	20893	121480
587	20925	121427
588	20959	121380
589	20995	121346
590	21031	121314
591	21069	121291
592	21098	121217
593	21129	121155
594	21156	121072
595	21187	121012
596	21220	120957
597	21256	120926
598	21287	120866
599	21317	120800
600	21345	120723
601	21372	120637
602	21399	120552
603	21426	120472
604	21457	120411
605	21500	120415
606	21545	120436
607	21583	120411
608	21628	120429
609	21669	120423
610	21715	120450
611	21759	120457
612	21801	120461
613	21853	120512
614	21932	120720
615	21965	120667
616	21994	120595
617	22023	120524
618	22054	120464
619	22082	120385
620	22110	120307
621	22144	120265
622	22183	120245
623	22214	120185
624	22246	120133
625	22274	120054
626	22304	119988
627	22333	119915
628	22364	119858
629	22397	119806
630	22424	119730
631	22451	119644
632	22477	119557
633	22504	119478
634	22530	119395
635	22555	119305
636	22583	119228
637	22612	119158
638	22640	119086
639	22668	119009
640	22697	118940
641	22726	118870
642	22753	118793
643	22781	118718
644	22815	118675
645	22842	118599
646	22872	118532
647	22905	118486
648	22939	118443
649	22973	118400
650	23010	118375
651	23040	118312
652	23068	118238
653	23097	118173
654	23126	118104
655	23155	118034
656	23185	117975
657	23216	117915
658	23249	117869
659	23278	117804
660	23309	117747
661	23340	117691
662	23369	117624
663	23398	117556
664	23429	117498
665	23458	117433
666	23489	117376
667	23515	117297
668	23542	117219
669	23568	117137
670	23597	117071
671	23637	117063
672	23694	117134
673	23737	117139
674	23784	117159
675	23833	117192
676	23869	117163
677	23900	117104
678	23938	117082
679	23971	117035
680	23997	116958
681	24026	116891
682	24056	116832
683	24085	116764
684	24115	116704
685	24149	116663
686	24181	116611
687	24211	116551
688	24243	116500
689	24270	116429
690	24302	116377
691	24335	116330
692	24368	116284
693	24401	116238
694	24437	116208
695	24473	116179
696	24505	116129
697	24539	116088
698	24574	116052
699	24607	116004
700	24638	115950
701	24668	115893
702	24694	115812
703	24720	115737
704	24753	115693
705	24787	115650
706	24814	115579
707	24846	115528
708	24874	115459
709	24903	115395
710	24932	115332
711	24966	115292
712	24999	115250
713	25030	115194
714	25059	115135
715	25088	115070
716	25117	115008
717	25152	114972
718	25183	114919
719	25216	114874
720	25246	114816
721	25275	114756
722	25304	114694
723	25333	114628
724	25373	114617
725	25441	114730
726	25488	114750
727	25538	114782
728	25564	114707
729	25590	114630
730	25621	114577
731	25648	114506
732	25677	114443
733	25703	114371
734	25729	114295
735	25754	114214
736	25779	114136
737	25808	114074
738	25833	113996
739	25862	113934
740	25894	113887
741	25920	113812
742	25952	113763
743	25982	113706
744	26009	113639
745	26037	113573
746	26070	113529
747	26103	113486
748	26153	113517
749	26205	113557
750	26262	113616
751	26317	113670
752	26361	113674
753	26404	113670
754	26452	113692
755	26500	113711
756	26561	113791
757	26610	113813
758	26657	113828
759	26703	113839
760	26733	113786
761	26764	113732
762	26799	113695
763	26853	113740
764	26889	113707
765	26920	113657
766	26957	113629
767	26996	113609
768	27049	113651
769	27085	113618
770	27122	113589
771	27161	113571
772	27201	113556
773	27250	113580
774	27284	113538
775	27316	113488
776	27347	113437
777	27392	113444
778	27432	113426
779	27470	113402
780	27501	113352
781	27534	113308
782	27567	113264
783	27601	113223
784	27636	113187
785	27669	113143
786	27710	113132
787	27741	113079
788	27772	113026
789	27800	112960
790	27830	112903
791	27866	112872
792	27902	112840
793	27943	112830
794	27980	112803
795	28016	112769
796	28056	112752
797	28092	112721
798	28131	112701
799	28168	112672
800	28203	112637
801	28237	112597
802	28266	112539
803	28297	112484
804	28326	112425
805	28368	112419
806	28402	112376
807	28433	112327
808	28465	112280
809	28498	112234
810	28537	112213
811	28574	112188
812	28607	112141
813	28638	112093
814	28673	112054
815	28707	112013
816	28736	111956
817	28771	111920
818	28811	111902
819	28842	111852
820	28873	111800
821	28902	111743
822	28936	111701
823	28973	111675
824	29006	111629
825	29044	111606
826	29076	111557
827	29106	111505
828	29138	111458
829	29174	111425
830	29210	111392
831	29244	111353
832	29275	111302
833	29302	111238
834	29330	111175
835	29362	111128
836	29396	111087
837	29428	111041
838	29459	110990
839	29490	110941
840	29525	110906
841	29566	110892
842	29600	110851
843	29630	110800
844	29666	110767
845	29696	110711
846	29728	110664
847	29762	110625
848	29791	110570
849	29824	110527
850	29856	110479
851	29886	110425
852	29919	110382
853	29951	110338
854	29983	110290
855	30014	110238
856	30043	110182
857	30074	110134
858	30105	110081
859	30133	110021
860	30159	109954
861	30190	109905
862	30225	109869
863	30261	109839
864	30292	109786
865	30323	109738
866	30353	109686
867	30385	109640
868	30421	109608
869	30477	109648
870	30533	109688
871	30593	109742
872	30658	109815
873	30705	109824
874	30747	109813
875	30781	109773
876	30826	109772
877	30856	109720
878	30889	109678
879	30949	109729
880	31020	109822
881	31100	109944
882	31181	110069
883	31227	110072
884	31263	110042
885	31296	109998
886	31331	109959
887	31366	109922
888	31397	109875
889	31427	109818
890	31458	109768
891	31494	109735
892	31532	109709
893	31565	109667
894	31600	109629
895	31629	109573
896	31656	109510
897	31687	109458
898	31716	109403
899	31753	109373
900	31786	109330
901	31822	109298
902	31855	109252
903	31886	109205
904	31920	109164
905	31955	109126
906	31989	109090
907	32022	109047
908	32059	109015
909	32093	108976
910	32128	108939
911	32164	108909
912	32202	108882
913	32237	108845
914	32271	108805
915	32303	108758
916	32337	108719
917	32367	108667
918	32399	108622
919	32434	108584
920	32464	108532
921	32495	108482
922	32526	108432
923	32558	108387
924	32591	108345
925	32626	108309
926	32659	108264
927	32690	108217
928	32722	108171
929	32751	108116
930	32786	108078
931	32817	108031
932	32851	107990
933	32886	107953
934	32923	107925
935	32959	107891
936	32990	107844
937	33023	107803
938	33060	107771
939	33102	107758
940	33137	107722
941	33171	107684
942	33206	107647
943	33237	107597
944	33269	107555
945	33311	107540
946	33343	107496
947	33376	107452
948	33409	107410
949	33442	107366
950	33472	107316
951	33503	107268
952	33536	107225
953	33567	107175
954	33607	107156
955	33648	107139
956	33730	107253
957	33787	107287
958	33825	107259
959	33859	107221
960	33893	107181
961	33928	107145
962	33963	107110
963	33998	107073
964	34029	107026
965	34063	106986
966	34094	106938
967	34140	106934
968	34215	107024
969	34262	107026
970	34307	107019
971	34353	107018
972	34388	106983
973	34421	106939
974	34455	106899
975	34487	106853
976	34517	106803
977	34547	106751
978	34578	106701
979	34606	106643
980	34636	106593
981	34668	106546
982	34700	106501
983	34730	106449
984	34765	106413
985	34821	106440
986	34929	106630
987	34967	106600
988	35003	106568
989	35036	106523
990	35071	106488
991	35109	106460
992	35142	106419
993	35175	106376
994	35211	106341
995	35242	106292
996	35274	106246
997	35304	106196
998	35334	106144
999	35416	106250
1000	35460	106238
1001	35517	106270
1002	35560	106256
1003	35612	106270
1004	35648	106236
1005	35686	106206
1006	35718	106162
1007	35751	106119
1008	35786	106081
1009	35819	106041
1010	35849	105987
1011	35887	105959
1012	35920	105917
1013	35954	105877
1014	35986	105831
1015	36022	105799
1016	36062	105775
1017	36096	105737
1018	36133	105706
1019	36165	105660
1020	36199	105621
1021	36233	105579
1022	36269	105547
1023	36306	105515
1024	36339	105474
1025	36373	105432
1026	36404	105384
1027	36434	105333
1028	36465	105286
1029	36497	105241
1030	36533	105206
1031	36568	105170
1032	36603	105133
1033	36636	105089
1034	36691	105110
1035	36755	105156
1036	36810	105176
1037	36874	105225
1038	36952	105310
1039	36989	105278
1040	37018	105222
1041	37047	105170
1042	37074	105109
1043	37100	105047
1044	37130	104995
1045	37160	104944
1046	37196	104910
1047	37226	104860
1048	37255	104805
1049	37286	104756
1050	37314	104701
1051	37343	104646
1052	37382	104620
1053	37410	104565
1054	37442	104519
1055	37481	104495
1056	37526	104483
1057	37573	104480
1058	37620	104476
1059	37662	104459
1060	37691	104407
1061	37719	104349
1062	37750	104301
1063	37781	104254
1064	37809	104198
1065	37842	104155
1066	37880	104126
1067	37915	104089
1068	37945	104038
1069	37979	103999
1070	38009	103948
1071	38040	103901
1072	38072	103857
1073	38108	103822
1074	38140	103778
1075	38172	103733
1076	38202	103681
1077	38231	103630
1078	38262	103582
1079	38297	103546
1080	38325	103490
1081	38351	103428
1082	38378	103369
1083	38404	103309
1084	38430	103248
1085	38455	103185
1086	38484	103133
1087	38515	103086
1088	38540	103023
1089	38567	102963
1090	38592	102900
1091	38619	102843
1092	38644	102782
1093	38672	102726
1094	38711	102700
1095	38749	102671
1096	38789	102648
1097	38828	102624
1098	38858	102574
1099	38887	102522
1100	38924	102489
1101	38969	102481
1102	38998	102428
1103	39026	102374
1104	39054	102320
1105	39090	102285
1106	39125	102249
1107	39168	102234
1108	39240	102294
1109	39281	102272
1110	39315	102233
1111	39351	102200
1112	39386	102164
1113	39416	102113
1114	39442	102054
1115	39467	101993
1116	39492	101931
1117	39518	101870
1118	39548	101821
1119	39584	101789
1120	39620	101755
1121	39648	101701
1122	39676	101646
1123	39703	101590
1124	39730	101533
1125	39762	101489
1126	39792	101440
1127	39819	101385
1128	39848	101331
1129	39874	101275
1130	39905	101229
1131	39962	101248
1132	40009	101242
1133	40052	101225
1134	40102	101226
1135	40144	101209
1136	40188	101195
1137	40222	101157
1138	40265	101140
1139	40291	101082
1140	40318	101027
1141	40344	100968
1142	40371	100910
1143	40397	100853
1144	40425	100799
1145	40454	100749
1146	40485	100702
1147	40514	100650
1148	40539	100590
1149	40564	100528
1150	40589	100467
1151	40614	100407
1152	40641	100351
1153	40669	100300
1154	40696	100242
1155	40723	100187
1156	40751	100135
1157	40777	100077
1158	40805	100025
1159	40834	99973
1160	40865	99928
1161	40899	99891
1162	40933	99852
1163	40968	99817
1164	40999	99771
1165	41030	99724
1166	41064	99688
1167	41116	99692
1168	41157	99673
1169	41209	99676
1170	41268	99700
1171	41321	99708
1172	41377	99722
1173	41423	99713
1174	41464	99691
1175	41513	99687
1176	41558	99676
1177	41593	99641
1178	41627	99601
1179	41659	99559
1180	41693	99521
1181	41738	99508
1182	41770	99465
1183	41804	99427
1184	41839	99390
1185	41873	99351
1186	41909	99319
1187	41950	99295
1188	41984	99259
1189	42018	99220
1190	42051	99180
1191	42081	99131
1192	42111	99083
1193	42142	99038
1194	42177	99002
1195	42208	98956
1196	42238	98908
1197	42270	98865
1198	42300	98819
1199	42331	98774
1200	42364	98732
1201	42412	98726
1202	42471	98748
1203	42531	98769
1204	42582	98770
1205	42618	98735
1206	42651	98695
1207	42707	98707
1208	42739	98664
1209	42770	98620
1210	42804	98580
1211	42837	98541
1212	42878	98518
1213	42918	98494
1214	42950	98449
1215	42980	98403
1216	43012	98360
1217	43046	98320
1218	43079	98279
1219	43115	98246
1220	43148	98206
1221	43178	98159
1222	43209	98114
1223	43241	98071
1224	43276	98033
1225	43319	98015
1226	43352	97975
1227	43383	97929
1228	43415	97888
1229	43451	97853
1230	43493	97834
1231	43528	97797
1232	43563	97761
1233	43594	97717
1234	43631	97684
1235	43664	97645
1236	43700	97611
1237	43738	97581
1238	43771	97541
1239	43801	97493
1240	43834	97452
1241	43865	97408
1242	43899	97369
1243	43938	97342
1244	43974	97308
1245	44010	97274
1246	44044	97236
1247	44079	97200
1248	44113	97162
1249	44152	97135
1250	44185	97095
1251	44219	97057
1252	44250	97012
1253	44280	96965
1254	44312	96923
1255	44344	96880
1256	44381	96848
1257	44414	96807
1258	44445	96762
1259	44478	96723
1260	44512	96684
1261	44545	96645
1262	44585	96620
1263	44619	96581
1264	44651	96538
1265	44685	96501
1266	44728	96482
1267	44769	96459
1268	44801	96417
1269	44834	96377
1270	44866	96333
1271	44896	96288
1272	44933	96256
1273	44979	96242
1274	45014	96206
1275	45045	96163
1276	45077	96120
1277	45110	96079
1278	45164	96085
1279	45216	96085
1280	45256	96059
1281	45301	96044
1282	45337	96011
1283	45370	95970
1284	45405	95935
1285	45447	95913
1286	45492	95898
1287	45540	95890
1288	45594	95893
1289	45647	95894
1290	45693	95881
1291	45735	95860
1292	45771	95826
1293	45803	95784
1294	45833	95737
1295	45867	95699
1296	45895	95647
1297	45920	95590
1298	45946	95536
1299	45972	95481
1300	46001	95433
1301	46038	95400
1302	46066	95350
1303	46091	95294
1304	46116	95237
1305	46142	95181
1306	46166	95124
1307	46194	95072
1308	46223	95025
1309	46253	94979
1310	46280	94925
1311	46306	94871
1312	46332	94817
1313	46359	94764
1314	46387	94714
1315	46418	94670
1316	46453	94634
1317	46487	94596
1318	46517	94552
1319	46548	94506
1320	46585	94475
1321	46614	94428
1322	46644	94381
1323	46674	94335
1324	46702	94286
1325	46732	94239
1326	46769	94209
1327	46804	94173
1328	46850	94159
1329	46897	94146
1330	46940	94127
1331	46972	94086
1332	47007	94049
1333	47038	94007
1334	47071	93966
1335	47105	93929
1336	47132	93877
1337	47158	93824
1338	47185	93771
1339	47212	93719
1340	47236	93663
1341	47263	93610
1342	47298	93575
1343	47333	93539
1344	47367	93502
1345	47402	93465
1346	47434	93424
1347	47465	93381
1348	47515	93375
1349	47554	93347
1350	47587	93307
1351	47620	93269
1352	47653	93228
1353	47687	93190
1354	47725	93161
1355	47763	93131
1356	47800	93099
1357	47850	93093
1358	47909	93104
1359	47960	93100
1360	48013	93099
1361	48057	93081
1362	48106	93071
1363	48146	93044
1364	48186	93020
1365	48219	92979
1366	48259	92953
1367	48288	92906
1368	48322	92867
1369	48356	92829
1370	48388	92789
1371	48425	92756
1372	48453	92708
1373	48485	92665
1374	48518	92625
1375	48549	92582
1376	48579	92537
1377	48610	92493
1378	48641	92451
1379	48676	92415
1380	48706	92368
1381	48733	92317
1382	48760	92267
1383	48786	92215
1384	48815	92168
1385	48843	92119
1386	48875	92077
1387	48904	92029
1388	48931	91980
1389	48960	91933
1390	48988	91884
1391	49018	91838
1392	49046	91789
1393	49077	91747
1394	49107	91701
1395	49134	91651
1396	49159	91598
1397	49187	91549
1398	49214	91498
1399	49246	91457
1400	49280	91421
1401	49314	91383
1402	49343	91335
1403	49376	91296
1404	49407	91254
1405	49440	91215
1406	49477	91183
1407	49518	91158
1408	49547	91112
1409	49576	91065
1410	49604	91017
1411	49632	90969
1412	49659	90920
1413	49686	90868
1414	49715	90823
1415	49748	90783
1416	49776	90735
1417	49804	90687
1418	49831	90637
1419	49857	90585
1420	49883	90533
1421	49911	90487
1422	49950	90458
1423	49977	90408
1424	50004	90358
1425	50030	90307
1426	50056	90256
1427	50083	90207
1428	50111	90158
1429	50146	90122
1430	50177	90080
1431	50210	90042
1432	50237	89992
1433	50263	89942
1434	50289	89890
1435	50316	89840
1436	50344	89793
1437	50374	89749
1438	50403	89703
1439	50436	89664
1440	50463	89615
1441	50491	89568
1442	50517	89516
1443	50547	89473
1444	50577	89429
1445	50609	89388
1446	50638	89343
1447	50663	89291
1448	50689	89239
1449	50715	89189
1450	50743	89141
1451	50773	89098
1452	50801	89052
1453	50828	89001
1454	50853	88950
1455	50881	88903
1456	50907	88851
1457	50931	88798
1458	50958	88748
1459	50986	88702
1460	51016	88659
1461	51044	88612
1462	51072	88565
1463	51098	88515
1464	51123	88463
1465	51150	88414
1466	51182	88373
1467	51215	88336
1468	51250	88301
1469	51282	88260
1470	51313	88219
1471	51342	88175
1472	51373	88133
1473	51403	88089
1474	51435	88051
1475	51468	88013
1476	51497	87967
1477	51524	87919
1478	51551	87871
1479	51580	87825
1480	51608	87780
1481	51634	87730
1482	51662	87684
1483	51697	87648
1484	51724	87600
1485	51751	87551
1486	51777	87503
1487	51806	87459
1488	51835	87413
1489	51863	87367
1490	51897	87330
1491	51923	87280
1492	51948	87231
1493	51975	87182
1494	52001	87132
1495	52026	87082
1496	52053	87033
1497	52081	86988
1498	52114	86950
1499	52143	86905
1500	52190	86890
1501	52219	86846
1502	52246	86799
1503	52272	86749
1504	52299	86701
1505	52324	86652
1506	52351	86604
1507	52379	86557
1508	52408	86514
1509	52440	86475
1510	52472	86434
1511	52500	86389
1512	52528	86343
1513	52557	86300
1514	52584	86252
1515	52611	86205
1516	52636	86154
1517	52663	86106
1518	52690	86059
1519	52716	86010
1520	52741	85960
1521	52773	85921
1522	52810	85891
1523	52844	85854
1524	52876	85815
1525	52912	85784
1526	52944	85743
1527	52978	85708
1528	53018	85681
1529	53052	85646
1530	53082	85605
1531	53115	85566
1532	53148	85530
1533	53177	85486
1534	53207	85444
1535	53234	85397
1536	53263	85353
1537	53289	85304
1538	53315	85256
1539	53345	85214
1540	53375	85171
1541	53407	85133
1542	53440	85095
1543	53469	85052
1544	53503	85016
1545	53535	84977
1546	53567	84939
1547	53595	84894
1548	53628	84857
1549	53659	84817
1550	53685	84768
1551	53717	84730
1552	53751	84694
1553	53796	84675
1554	53836	84649
1555	53870	84614
1556	53903	84577
1557	53937	84540
1558	53962	84491
1559	53988	84442
1560	54016	84398
1561	54050	84362
1562	54079	84319
1563	54114	84285
1564	54148	84249
1565	54179	84209
1566	54208	84167
1567	54266	84168
1568	54299	84131
1569	54332	84094
1570	54366	84058
1571	54399	84022
1572	54430	83981
1573	54478	83967
1574	54519	83942
1575	54562	83921
1576	54619	83920
1577	54699	83956
1578	54764	83967
1579	54837	83992
1580	54885	83977
1581	54925	83950
1582	54975	83939
1583	55024	83925
1584	55061	83895
1585	55101	83868
1586	55141	83841
1587	55185	83820
1588	55241	83818
1589	55277	83785
1590	55311	83749
1591	55349	83719
1592	55390	83694
1593	55429	83666
1594	55456	83619
1595	55481	83569
1596	55506	83520
1597	55531	83471
1598	55570	83441
1599	55613	83420
1600	55647	83385
1601	55679	83344
1602	55712	83307
1603	55747	83273
1604	55783	83240
1605	55823	83214
1606	55865	83189
1607	55904	83161
1608	55942	83130
1609	55979	83100
1610	56015	83066
1611	56057	83042
1612	56089	83004
1613	56122	82966
1614	56152	82924
1615	56185	82887
1616	56220	82853
1617	56257	82820
1618	56285	82777
1619	56321	82743
1620	56358	82712
1621	56388	82670
1622	56428	82643
1623	56504	82668
1624	56575	82686
1625	56621	82668
1626	56662	82643
1627	56699	82612
1628	56732	82574
1629	56762	82531
1630	56792	82490
1631	56825	82453
1632	56863	82423
1633	56901	82392
1634	56934	82354
1635	56962	82309
1636	56987	82261
1637	57012	82212
1638	57040	82168
1639	57071	82127
1640	57098	82081
1641	57130	82042
1642	57161	82002
1643	57192	81961
1644	57217	81913
1645	57244	81866
1646	57278	81831
1647	57311	81794
1648	57340	81750
1649	57367	81705
1650	57392	81656
1651	57421	81614
1652	57448	81567
1653	57478	81525
1654	57504	81479
1655	57533	81436
1656	57565	81398
1657	57592	81352
1658	57623	81312
1659	57660	81280
1660	57699	81251
1661	57729	81210
1662	57758	81167
1663	57790	81128
1664	57822	81089
1665	57852	81049
1666	57882	81007
